,max_error,mean_squared_error
DP,2.3484804094206355,0.7032413254725136
DP+C,2.2899336554747043,0.8932603806760558
RQ,0.028468880344565406,1.3147953029517105e-06
RQ+C,0.006302027912039598,1.794206075323061e-07
RBF,0.022269203022563744,1.6486063569257102e-06
RBF+C,0.00951056370926473,3.2173731356111143e-07
RBF+DP+C,0.009141565789016148,3.032539741549801e-07
ExpSin,0.026246947855373293,1.6849099674278147e-06
ExpSin+C,0.006010415912766298,1.6783749790351228e-07
RBF+RQ+ExpSin+C,0.005942593171730515,1.6710135004238157e-07
